CBT0108M0003	西安奥拓#比亚迪汽车#西安奥拓#西安奥拓#0.8 手动
EAM0332M0007	阿斯顿马丁#阿斯顿·马丁#DB7#DB7#3.2 手动
EAM0332A0018	阿斯顿马丁#阿斯顿·马丁#DB7#DB7 Volante [DB7 敞篷]#3.2 自动
EAM0332M0011	阿斯顿马丁#阿斯顿·马丁#DB7#DB7 Volante [DB7 敞篷]#3.2 手动
GAU0120A0004	奥迪#奥迪汽车#100#100 Avant#2.0 自动 116hp
GAU0120M0016	奥迪#奥迪汽车#100#100 Avant#2.0 手动 116hp
GAU0123M0008	奥迪#奥迪汽车#100#100 Avant#2.3 手动
GAU0124M0008	奥迪#奥迪汽车#100#100 Avant#2.4 手动 柴油版
GAU0125A0004	奥迪#奥迪汽车#100#100 Avant#2.5TDI 自动 柴油版
GAU0125M0008	奥迪#奥迪汽车#100#100 Avant#2.5TDI 手动 柴油版
GAU0126A0008	奥迪#奥迪汽车#100#100 Avant#2.6 自动 V6
GAU0126M0008	奥迪#奥迪汽车#100#100 Avant#2.6 手动 V6
GAU0128M0008	奥迪#奥迪汽车#100#100 Avant#2.8 手动 V6
GAU0120M0015	奥迪#奥迪汽车#100#100 Avant#2.0 手动 101hp
GAU0128A0008	奥迪#奥迪汽车#100#100 Avant#2.8 自动 V6
GAU0120M0013	奥迪#奥迪汽车#100#100#2.0 手动 101hp
GAU0120M0014	奥迪#奥迪汽车#100#100#2.0 手动 116hp
GAU0123A0004	奥迪#奥迪汽车#100#100#2.3 自动
GAU0124M0007	奥迪#奥迪汽车#100#100#2.4 手动 柴油版
GAU0126A0007	奥迪#奥迪汽车#100#100#2.6 自动
GAU0126M0007	奥迪#奥迪汽车#100#100#2.6 手动
GAU0128A0007	奥迪#奥迪汽车#100#100#2.8 自动 V6
GAU0128M0007	奥迪#奥迪汽车#100#100#2.8 手动 V6
GAU0123M0007	奥迪#奥迪汽车#100#100#2.3 手动
GAU0125M0007	奥迪#奥迪汽车#100#100#2.5TDI 手动 柴油版
GAU0219A0005	奥迪#奥迪汽车#80#80 Avant#1.9TDI 自动
GAU0219M0010	奥迪#奥迪汽车#80#80 Avant#1.9TDI 手动
GAU0219M0009	奥迪#奥迪汽车#80#80 Avant#1.9TD 手动
GAU0220A0010	奥迪#奥迪汽车#80#80 Avant#2.0 自动 90hp
GAU0220A0009	奥迪#奥迪汽车#80#80 Avant#2.0 自动 115hp
GAU0220M0010	奥迪#奥迪汽车#80#80 Avant#2.0 手动 90hp
GAU0220M0009	奥迪#奥迪汽车#80#80 Avant#2.0 手动 116hp
GAU0223M0005	奥迪#奥迪汽车#80#80 Avant#2.3 手动
GAU0226A0005	奥迪#奥迪汽车#80#80 Avant#2.6 自动
GAU0226M0005	奥迪#奥迪汽车#80#80 Avant#2.6 手动
GAU0228A0005	奥迪#奥迪汽车#80#80 Avant#2.8 自动
GAU0228M0005	奥迪#奥迪汽车#80#80 Avant#2.8 手动
GAU0222M0009	奥迪#奥迪汽车#80#80 S2#2.2T 手动
GAU0323M0004	奥迪#奥迪汽车#A6#A6#2.3 手动
GAU0326A0008	奥迪#奥迪汽车#A6#A6#2.6 手自一体 Quattro
GAU0326A0007	奥迪#奥迪汽车#A6#A6#2.6 手自一体
GAU0326M0008	奥迪#奥迪汽车#A6#A6#2.6 手动
GAU0323A0004	奥迪#奥迪汽车#A6#A6#2.3 手自一体
GAU0326M0009	奥迪#奥迪汽车#A6#A6#2.6 手动 Quattro
GAU0326M0002	奥迪#奥迪汽车#A6#A6#2.6 手动 E
GAU0323A0008	奥迪#奥迪汽车#A6#A6 Avant#2.3 自动
GAU0323M0008	奥迪#奥迪汽车#A6#A6 Avant#2.3 手动
GAU0326A0016	奥迪#奥迪汽车#A6#A6 Avant#2.6 自动 V6
GAU0326M0017	奥迪#奥迪汽车#A6#A6 Avant#2.6 手动 V6
GAU0326M0016	奥迪#奥迪汽车#A6#A6 Avant#2.6 手动 V6 Quattro
GAU0326A0015	奥迪#奥迪汽车#A6#A6 Avant#2.6 自动 V6 Quattro
GAU0322A0004	奥迪#奥迪汽车#A6#S6#2.2T 手自一体 Quattro
GAU0322M0004	奥迪#奥迪汽车#A6#S6#2.2T 手动 Quattro
GAU0322A0008	奥迪#奥迪汽车#A6#S6 Avant#2.2T 手自一体 Quattro
GAU0322M0008	奥迪#奥迪汽车#A6#S6 Avant#2.2T 手动 Quattro
GAU0222M0008	奥迪#奥迪汽车#80#80 Avant S2#2.2T 手动
GAU0222M0005	奥迪#奥迪汽车#80#80 Avant RS2#2.2T 手动
GAU0526A0015	奥迪#奥迪汽车#A4#A4#2.6 自动 V6
GAU0526A0016	奥迪#奥迪汽车#A4#A4#2.6 自动 V6 Quattro
GAU0526M0015	奥迪#奥迪汽车#A4#A4#2.6 手动 V6
GAU0526M0016	奥迪#奥迪汽车#A4#A4#2.6 手动 V6 Quattro
GAU0528A0029	奥迪#奥迪汽车#A4#A4#2.8 手自一体 V6 174hp
GAU0528A0030	奥迪#奥迪汽车#A4#A4#2.8 手自一体 V6 Quattro 174hp
GAU0528A0031	奥迪#奥迪汽车#A4#A4#2.8 自动 V6 193hp
GAU0528A0032	奥迪#奥迪汽车#A4#A4#2.8 自动 V6 Quattro 193hp
GAU0528M0031	奥迪#奥迪汽车#A4#A4#2.8 手动 V6 Quattro 174hp
GAU0528M0032	奥迪#奥迪汽车#A4#A4#2.8 手动 V6 Quattro 193hp
GAU0528M0029	奥迪#奥迪汽车#A4#A4#2.8 手动 V6 174hp
GAU0528M0030	奥迪#奥迪汽车#A4#A4#2.8 手动 V6 193hp
GBW0117M0006	宝马#宝马汽车#3 Series [3系]#318tds Touring [318tds 旅行车]#1.6T 手动 柴油版
GBW0117M0014	宝马#宝马汽车#3 Series [3系]#318tds#1.7T 手动 柴油版
GBW0218M0006	宝马#宝马汽车#5 Series [5系]#518i Touring [518i 旅行车]#1.8 手动
GBW0228A0010	宝马#宝马汽车#5 Series [5系]#528i Touring [528i 旅行车]#2.8 自动
GBW0228M0010	宝马#宝马汽车#5 Series [5系]#528i Touring [528i 旅行车]#2.8 手动
GBW0228A0006	宝马#宝马汽车#5 Series [5系]#528i#2.8 自动 后驱版
GBW0228M0006	宝马#宝马汽车#5 Series [5系]#528i#2.8 手动 后驱版
GBW0330M0001	宝马#宝马汽车#8 Series [8系]#830Ci#3.0 手动 V8
GBW0425A0008	宝马#宝马汽车#7 Series [7系]#725tds#2.5T 手自一体 柴油版
GBW0425M0008	宝马#宝马汽车#7 Series [7系]#725tds#2.5T 手动 柴油版
GBW0428A0007	宝马#宝马汽车#7 Series [7系]#728iL#2.8 手自一体
GBW0428A0015	宝马#宝马汽车#7 Series [7系]#728i#2.8 手自一体
GBW0428M0008	宝马#宝马汽车#7 Series [7系]#728i#2.8 手动
GBW0429A0004	宝马#宝马汽车#7 Series [7系]#730d#2.9T 手自一体 柴油版
GBW0435A0009	宝马#宝马汽车#7 Series [7系]#735i#3.5 手自一体 V8
GBW0435M0005	宝马#宝马汽车#7 Series [7系]#735i#3.5 手动 V8
GBW0454A0012	宝马#宝马汽车#7 Series [7系]#750Li#5.4 手自一体 V12
GBW0454A0014	宝马#宝马汽车#7 Series [7系]#750i#5.4 手自一体 V12
GBW0549A0002	宝马#宝马汽车#M Series [M系]#M5#4.9 手自一体 V8
GBW0618M0008	宝马#宝马汽车#Z3#Z3 1.8i Convertible [Z3 1.8i 敞篷跑车]#1.8i 手动
GBW0619M0008	宝马#宝马汽车#Z3#Z3 1.9i Convertible [Z3 1.9i 敞篷跑车]#1.9 手动
GBW0622A0008	宝马#宝马汽车#Z3#Z3 2.2i Convertible [Z3 2.2i 敞篷跑车]#2.2 手自一体
GBW0622M0008	宝马#宝马汽车#Z3#Z3 2.2i Convertible [Z3 2.2i 敞篷跑车]#2.2 手动
GBW0628A0005	宝马#宝马汽车#Z3#Z3 2.8i Coupe [Z3 2.8i 双门跑车]#2.8 手自一体
GBW0628M0005	宝马#宝马汽车#Z3#Z3 2.8i Coupe [Z3 2.8i 双门跑车]#2.8 手动
GBW0628A0013	宝马#宝马汽车#Z3#Z3 2.8i Convertible [Z3 2.8i 敞篷跑车]#2.8 手自一体
GBW0628M0013	宝马#宝马汽车#Z3#Z3 2.8i Convertible [Z3 2.8i 敞篷跑车]#2.8 手动
GBW0630A0005	宝马#宝马汽车#Z3#Z3 3.0i Coupe [Z3 3.0i 双门跑车]#3.0 手自一体
GBW0630M0005	宝马#宝马汽车#Z3#Z3 3.0i Coupe [Z3 3.0i 双门跑车]#3.0 手动
GBW0630A0013	宝马#宝马汽车#Z3#Z3 3.0i Convertible [Z3 3.0i 敞篷跑车]#3.0 手自一体
GBW0630M0013	宝马#宝马汽车#Z3#Z3 3.0i Convertible [Z3 3.0i 敞篷跑车]#3.0 手动
EBS0325A0007	保时捷#保时捷汽车#Boxster [博克斯特]#Boxster [博克斯特]#2.5 自动
EBS0325M0007	保时捷#保时捷汽车#Boxster [博克斯特]#Boxster [博克斯特]#2.5 手动
EBS0130A0009	保时捷#保时捷汽车#968#968#3.0 手自一体
EBS0130M0005	保时捷#保时捷汽车#968#968#3.0 手动
EBS0130A0010	保时捷#保时捷汽车#968#968 Turbo S#3.0T 手自一体
GBZ0142A0009	奔驰#奔驰汽车#S-Class [S级]#400 SEL#4.2 自动
GBZ0142A0004	奔驰#奔驰汽车#S-Class [S级]#S 420#4.2 自动 V8
GBZ0142A0015	奔驰#奔驰汽车#S-Class [S级]#420 SEL#4.2 自动 V8
GBZ0156A0003	奔驰#奔驰汽车#S-Class [S级]#560 SEL#5.6 自动 V8
GBZ0223M0003	奔驰#奔驰汽车#E-Class [E级]#190 E#2.3 手动
GBZ0225A0003	奔驰#奔驰汽车#E-Class [E级]#190 E#2.5 自动
GBZ0223A0003	奔驰#奔驰汽车#E-Class [E级]#190 E#2.3 自动
GBZ0225M0013	奔驰#奔驰汽车#E-Class [E级]#190 E#2.5 手动
GBZ0223A0007	奔驰#奔驰汽车#E-Class [E级]#E 230 Tourer#2.3 自动
GBZ0223M0007	奔驰#奔驰汽车#E-Class [E级]#E 230 Tourer#2.3 手动
GBZ0225M0015	奔驰#奔驰汽车#E-Class [E级]#300 D#2.5 手动
GBZ0225M0011	奔驰#奔驰汽车#E-Class [E级]#190 D#2.5 手动
GBZ0225M0012	奔驰#奔驰汽车#E-Class [E级]#190 D#2.5T 手动
GBZ0225M0018	奔驰#奔驰汽车#E-Class [E级]#E 250 D Tourer#2.5 手动 柴油版
GBZ0225A0006	奔驰#奔驰汽车#E-Class [E级]#E 250 D Tourer#2.5 自动 柴油版
GBZ0229A0007	奔驰#奔驰汽车#E-Class [E级]#E 300 Tourer#2.9 手自一体 四驱版
GBZ0229M0004	奔驰#奔驰汽车#E-Class [E级]#E 290 Tourer#2.9T 手动 柴油版
GBZ0229A0004	奔驰#奔驰汽车#E-Class [E级]#E 290 Tourer#2.9T 自动 柴油版
GBZ0242A0004	奔驰#奔驰汽车#E-Class [E级]#420 E#4.2 自动
GBZ0242M0002	奔驰#奔驰汽车#E-Class [E级]#420 E#4.2 手动
GBZ0242A0008	奔驰#奔驰汽车#E-Class [E级]#E 420 Tourer#4.2 自动 V8
GBZ0322A0022	奔驰#奔驰汽车#C-Class [C级]#C 220 CDI#2.2 自动 柴油版
GBZ0322M0022	奔驰#奔驰汽车#C-Class [C级]#C 220 CDI#2.2 手动 柴油版
GBZ0322A0018	奔驰#奔驰汽车#C-Class [C级]#C 220 CDI Tourer#2.2 自动 柴油版
GBZ0322M0018	奔驰#奔驰汽车#C-Class [C级]#C 220 CDI Tourer#2.2 手动 柴油版
GBZ0322A0020	奔驰#奔驰汽车#C-Class [C级]#C 220 Tourer#2.2 自动 柴油版
GBZ0322M0020	奔驰#奔驰汽车#C-Class [C级]#C 220 Tourer#2.2 手动 柴油版
GBZ0322M0021	奔驰#奔驰汽车#C-Class [C级]#C 220#2.2 手动
GBZ0322A0021	奔驰#奔驰汽车#C-Class [C级]#C 220#2.2 自动
GBZ0324A0008	奔驰#奔驰汽车#C-Class [C级]#C 240#2.4 自动
GBZ0324M0008	奔驰#奔驰汽车#C-Class [C级]#C 240#2.4 手动
GBZ0324M0007	奔驰#奔驰汽车#C-Class [C级]#C 240 Tourer#2.4 手动 V6
GBZ0324A0007	奔驰#奔驰汽车#C-Class [C级]#C 240 Tourer#2.4 自动 V6
GBZ0328A0012	奔驰#奔驰汽车#C-Class [C级]#C 280#2.8 自动
GBZ0328M0012	奔驰#奔驰汽车#C-Class [C级]#C 280#2.8 手动
GBZ0328A0011	奔驰#奔驰汽车#C-Class [C级]#C 280 Tourer#2.8 自动 V6
GBZ0328M0011	奔驰#奔驰汽车#C-Class [C级]#C 280 Tourer#2.8 手动 V6
GBZ0443A0004	奔驰#奔驰汽车#C-Class AMG [C级 AMG]#C43 AMG#4.3 自动 V8
GBZ0843A0005	奔驰#奔驰汽车#M-Class [M级]#ML 430#4.3 自动 V8
GBZ0436A0003	奔驰#奔驰汽车#C-Class AMG [C级 AMG]#C36 AMG#3.6 自动
JHD0116M0008	本田#本田汽车#Accord [雅阁]#Accord-R [雅阁-欧版]#1.6 手动
JHD0127A0005	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#2.7 自动 EX
JHD0127A0006	本田#本田汽车#Accord [雅阁]#Accord-Sedan [雅阁-三厢]#2.7 自动 LX
JHD0232A0005	本田#本田汽车#Legend [里程]#Legend [里程]#3.2 自动
JHD0416A0007	本田#本田汽车#CR-X#CR-X-Del-Sol#1.6 自动
JHD0416M0007	本田#本田汽车#CR-X#CR-X-Del-Sol#1.6 手动
JHD0520A0005	本田#本田汽车#Prelude [序曲]#Prelude [序曲]#2.0i 自动
JHD0520M0010	本田#本田汽车#Prelude [序曲]#Prelude [序曲]#2.0i 手动
JHD0522A0005	本田#本田汽车#Prelude [序曲]#Prelude [序曲]#2.2VTi 自动
JHD0522M0005	本田#本田汽车#Prelude [序曲]#Prelude [序曲]#2.2VTi 手动
JHD0522M0010	本田#本田汽车#Prelude [序曲]#Prelude [序曲]#2.2i 手动
JHD0523M0005	本田#本田汽车#Prelude [序曲]#Prelude [序曲]#2.3i 手动
JHD0626M0003	本田#本田汽车#Passport#Passport#2.6 手动 DX
JHD0722A0007	本田#本田汽车#Odyssey [奥德赛]#Odyssey [奥德赛]#2.2 自动 EX
JHD0722A0008	本田#本田汽车#Odyssey [奥德赛]#Odyssey [奥德赛]#2.2 自动 LX
FPZ0114M0010	标致#标致汽车#405#405#1.4 手动
FPZ0116A0010	标致#标致汽车#405#405#1.6i 手自一体
FPZ0116M0010	标致#标致汽车#405#405#1.6i 手动
FPZ0116M0020	标致#标致汽车#405#405#1.6 手动
FPZ0118M0010	标致#标致汽车#405#405#1.8T 手动 HDi
FPZ0119A0010	标致#标致汽车#405#405#1.9i 手自一体 110hp
FPZ0119A0020	标致#标致汽车#405#405#1.9i 手自一体 125hp
FPZ0119A0030	标致#标致汽车#405#405#1.9i 手自一体 160hp
FPZ0119M0010	标致#标致汽车#405#405#1.9i 手动 110hp
FPZ0119M0020	标致#标致汽车#405#405#1.9i 手动 125hp
FPZ0119M0030	标致#标致汽车#405#405#1.9i 手动 160hp
FPZ0119M0040	标致#标致汽车#405#405#1.9 手动
FPZ0119M0050	标致#标致汽车#405#405#1.9 手动 HDi
FPZ0116M0029	标致#标致汽车#405#405 SW#1.6i 手动
FPZ0116M0038	标致#标致汽车#405#405 SW#1.6 手动
FPZ0118M0019	标致#标致汽车#405#405 SW#1.8T 手动 HDi
FPZ0119A0039	标致#标致汽车#405#405 SW#1.9i 手自一体 110hp
FPZ0119M0059	标致#标致汽车#405#405 SW#1.9i 手动 110hp
FPZ0119M0068	标致#标致汽车#405#405 SW#1.9i 手动 125hp
FPZ0119M0077	标致#标致汽车#405#405 SW#1.9 手动
FPZ0119M0086	标致#标致汽车#405#405 SW#1.9 手动 HDi
FPZ0218M0005	标致#标致汽车#806#806#1.8 手动
FPZ0316M0005	标致#标致汽车#406#406#1.6 手动
FPZ0319M0009	标致#标致汽车#406#406#1.9THDi 手动 75hp
FPZ0319M0010	标致#标致汽车#406#406#1.9THDi 手动 90hp
FPZ0321M0005	标致#标致汽车#406#406#2.1THDi 手动
FPZ0319M0017	标致#标致汽车#406#406 SW#1.9THDi 手动 75hp
FPZ0319M0018	标致#标致汽车#406#406 SW#1.9THDi 手动 90hp
FPZ0321M0009	标致#标致汽车#406#406 SW#2.1THDi 手动
FPZ0419M0010	标致#标致汽车#206#206#1.9HDi 手动 五门版
FPZ0419M0009	标致#标致汽车#206#206#1.9HDi 手动 三门版
AGB0130A0001	别克#通用汽车#Electra#Electra#3.0 自动
AGB0138A0001	别克#通用汽车#Electra#Electra#3.8 自动
AGB0238A0019	别克#通用汽车#"Park Avenue [林荫大道]"#"Park Avenue [林荫大道]"#3.8 自动 Superc harged
AGB0238A0018	别克#通用汽车#"Park Avenue [林荫大道]"#"Park Avenue [林荫大道]"#3.8 自动
AGB0238A0025	别克#通用汽车#"Park Avenue [林荫大道]"#"Park Avenue [林荫大道]"#3.8 自动 Ultra
AGB0433A0007	别克#通用汽车#Skylark [云雀]#Skylark [云雀]#3.3 自动 Gran Sport
AGB0550A0006	别克#通用汽车#Roadmaster [路霸]#Roadmaster [路霸]#5.0 自动
AGB0557A0006	别克#通用汽车#Roadmaster [路霸]#Roadmaster [路霸]#5.7 自动
AGB0731A0010	别克#通用汽车#Century [世纪]#Century [世纪]#3.1 自动
AGB0838A0016	别克#通用汽车#Regal [皇朝]#Regal [皇朝]#3.8 自动 Superc harged
AGB0838A0015	别克#通用汽车#Regal [皇朝]#Regal [皇朝]#3.8 自动
EBL0168A0037	宾利#宾利汽车#Continental [欧陆]#Continental [欧陆]#6.8T 自动 V8 405hp
EBL0168A0038	宾利#宾利汽车#Continental [欧陆]#Continental [欧陆]#6.8T 自动 V8 426hp
EBL0168A0052	宾利#宾利汽车#Continental [欧陆]#Continental R [欧陆 R]#6.8 自动 V8 385hp
EBL0168A0051	宾利#宾利汽车#Continental [欧陆]#Continental R [欧陆 R]#6.8 自动 V8 320hp
EBL0168A0053	宾利#宾利汽车#Continental [欧陆]#Continental R [欧陆 R]#6.8 自动 V8 426hp
KDW0120M0008	大宇#大宇汽车#Espero [贵族]#Espero [贵族]#2.0 手动
KDW0315A0004	大宇#大宇汽车#Cielo [蓝天]#Cielo [蓝天]#1.5 自动 90HP
KDW0315M0007	大宇#大宇汽车#Cielo [蓝天]#Cielo [蓝天]#1.5 手动
GVW0328A0015	大众#大众汽车#Golf [高尔夫]#Golf#2.8 手自一体 V6 三门版
GVW0328A0016	大众#大众汽车#Golf [高尔夫]#Golf#2.8 手自一体 V6 五门版
GVW0328M0020	大众#大众汽车#Golf [高尔夫]#Golf#2.8 手动 V6 三门版
GVW0328M0027	大众#大众汽车#Golf [高尔夫]#Golf#2.8 手动 V6 五门版
GVW0328A0027	大众#大众汽车#Golf [高尔夫]#Golf VR6#2.8 手自一体 三门版
GVW0328A0026	大众#大众汽车#Golf [高尔夫]#Golf VR6#2.8 手自一体 五门版
GVW0328M0007	大众#大众汽车#Golf [高尔夫]#Golf VR6#2.8 手动 三门版
GVW0328M0013	大众#大众汽车#Golf [高尔夫]#Golf VR6#2.8 手动 五门版
GVW0329A0007	大众#大众汽车#Golf [高尔夫]#Golf VR6 Syncro#2.9 手自一体
GVW0329M0007	大众#大众汽车#Golf [高尔夫]#Golf VR6 Syncro#2.9 手动
GVW0623A0008	大众#大众汽车#Beetle [甲壳虫]#Beetle [甲壳虫]#2.3 手自一体 V5
ACD0125M0005	道奇#克莱斯勒#Caravan [凯领]#Caravan [凯领]#2.5 手动
ACD0230A0012	道奇#克莱斯勒#Stealth [隐形]#Stealth [隐形]#3.0T 自动
ACD0230A0011	道奇#克莱斯勒#Stealth [隐形]#Stealth [隐形]#3.0 自动
ACD0230M0012	道奇#克莱斯勒#Stealth [隐形]#Stealth [隐形]#3.0T 手动
ACD0230M0011	道奇#克莱斯勒#Stealth [隐形]#Stealth [隐形]#3.0 手动
ACD0439A0010	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#3.9 自动
ACD0439M0010	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#3.9 手动
ACD0452A0010	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#5.2 自动
ACD0452M0010	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#5.2 手动
ACD0459A0010	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#5.9 自动
ACD0459M0019	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#5.9 手动
ACD0459M0020	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#5.9 手动 柴油
ACD0480M0010	道奇#克莱斯勒#Ram [公羊]#Ram [公羊]#8.0 手动
ACD0527A0007	道奇#克莱斯勒#Intrepid [无畏]#Intrepid [无畏]#2.7 自动
ACD0532A0007	道奇#克莱斯勒#Intrepid [无畏]#Intrepid [无畏]#3.2 自动
ACD0533A0005	道奇#克莱斯勒#Intrepid [无畏]#Intrepid [无畏]#3.3 自动
ACD0535A0012	道奇#克莱斯勒#Intrepid [无畏]#Intrepid [无畏]#3.5 自动
ACD0620M0007	道奇#克莱斯勒#Stratus[层云]#Stratus[层云]#2.0 手动
ACD0625A0007	道奇#克莱斯勒#Stratus[层云]#Stratus[层云]#2.5 自动
ACD0825A0006	道奇#克莱斯勒#Avenger [锋哲]#Avenger [锋哲]#2.5 自动
ACD0825M0006	道奇#克莱斯勒#Avenger [锋哲]#Avenger [锋哲]#2.5 手动
ACD0925M0009	道奇#克莱斯勒#Dakota#Dakota#2.5 手动
ACD0939M0009	道奇#克莱斯勒#Dakota#Dakota#3.9 手动
ACD0959A0009	道奇#克莱斯勒#Dakota#Dakota#5.9 自动
ACD1059A0007	道奇#克莱斯勒#Durango [拓远者]#Durango [拓远者]#5.9 自动
EFA0134M0019	法拉利#法拉利汽车#348#348 GTS#3.4 手动 V8
EFA0249M0007	法拉利#法拉利汽车#512#512 TR#4.9 手动
EFA0355A0006	法拉利#法拉利汽车#456#456 M GTA#5.5 手自一体
EFA0355A0010	法拉利#法拉利汽车#456#456 GTA#5.5 手自一体
EFA0355A0015	法拉利#法拉利汽车#456#456 GT#5.5 手自一体
EFA0355M0013	法拉利#法拉利汽车#456#456 GT#5.5 手动
EFA0355M0006	法拉利#法拉利汽车#456#456 M GT#5.5 手动
EFA0435A0008	法拉利#法拉利汽车#F355#F355 GTS#3.5 手自一体
EFA0435M0017	法拉利#法拉利汽车#F355#F355 GTS#3.5 手动
EFA0435M0016	法拉利#法拉利汽车#F355#F355 Berlinetta#3.5 手动 V8
EFA0435M0015	法拉利#法拉利汽车#F355#F355 Spider#3.5 手动
EFA0435A0009	法拉利#法拉利汽车#F355#F355 Spider#3.5 手自一体
EFA0547M0005	法拉利#法拉利汽车#F50#F50#4.7 手动
YFT0114M0018	菲亚特#菲亚特汽车#Tempra [飞鹰]#Tempra [飞鹰]#1.4 手动
YFT0116M0009	菲亚特#菲亚特汽车#Tempra [飞鹰]#Tempra [飞鹰]#1.6 手动
YFT0118M0009	菲亚特#菲亚特汽车#Tempra [飞鹰]#Tempra [飞鹰]#1.8 手动
YFT0119A0009	菲亚特#菲亚特汽车#Tempra [飞鹰]#Tempra [飞鹰]#1.9T 自动 柴油
YFT0119M0009	菲亚特#菲亚特汽车#Tempra [飞鹰]#Tempra [飞鹰]#1.9T 手动 柴油
YFT0120M0009	菲亚特#菲亚特汽车#Tempra [飞鹰]#Tempra [飞鹰]#2.0 手动
