CBL0130M0004	三菱#北京吉普#帕杰罗速跑#帕杰罗速跑#3.0 手动 GLS
CDD0128M0002	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.8T 手动 柴油超豪华型 排半
CDD0122M0003	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.2 手动 豪华型 双排 汽油 教练车
CDD0128M0004	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.8T 手动 柴油超豪华型 双排 教练车
CDD0122M0002	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.2 手动 超豪华型 排半 汽油
CDD0128M0003	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.8T 手动 柴油豪华型 双排 教练车
CDD0222M0002	大迪#大迪汽车#奥顺皮卡#奥顺皮卡#2.2 手动 双排 超豪华型 加长版 汽油
CDD0222M0001	大迪#大迪汽车#奥顺皮卡#奥顺皮卡#2.2 手动 双排 豪华型 加长版 汽油
CDD0228M0002	大迪#大迪汽车#奥顺皮卡#奥顺皮卡#2.8T 手动 柴油豪华型 双排
CDH0124M0007	本田#东风本田#CR-V#CR-V#2.4 手动 VTi 豪华版
CDH0124M0002	本田#东风本田#CR-V#CR-V#2.4 手动 i-VTEC 四驱
CDS0118M0006	思铭#东风本田#思铭#思铭#1.8 手动
CDP0216M0003	标致#东风标致#408#408#1.6 手动 舒适版
CDP0220M0012	标致#东风标致#408#408#2.0 手动 豪华版
CDP0220M0009	标致#东风标致#408#408#2.0 手动 舒适版
CDP0316M0005	标致#东风标致#207#207 Cross#1.6 手动 驭乐型
CDP0316M0006	标致#东风标致#207#207 Cross#1.6 手动 品乐型
CDP0520M0008	标致#东风标致#3008#3008#2.0 手动 经典版 周年i享版
CDP0520M0009	标致#东风标致#3008#3008#2.0 手动 潮流版 周年i享版
CDP0520M0006	标致#东风标致#3008#3008#2.0 手动 经典版
CDP0520M0007	标致#东风标致#3008#3008#2.0 手动 潮流版
CDP0616M0003	标致#东风标致#307#307-两厢#1.6 手动 舒适版
CDP0716M0003	标致#东风标致#301#301#1.6 手动 舒适版
CDP0716M0004	标致#东风标致#301#301#1.6 手动 豪华版
CDP0616M0004	标致#东风标致#307#307 Cross#1.6 手动
CDK0110M0226	东风小康#东风汽车#K系列#K17#1.0 手动 创业先锋5-8座EQ465i2
CDN0120M0005	日产#东风日产#蓝鸟#风神蓝鸟#2.0 手动 豪华型
CDN0120M0004	日产#东风日产#蓝鸟#风神蓝鸟#2.0 手动 标准型
CDN0120M0020	日产#东风日产#蓝鸟#蓝鸟#2.0 手动 豪华型
CDN0120M0019	日产#东风日产#蓝鸟#蓝鸟#2.0 手动 标准型
CDN0120M0016	日产#东风日产#蓝鸟#蓝鸟#2.0 手动 尊贵型
CDN0120M0022	日产#东风日产#蓝鸟#蓝鸟 智尊#2.0 手动 豪华型
CDN0220M0005	日产#东风日产#阳光#阳光#2.0 手动 LE
CDN0220M0010	日产#东风日产#阳光#阳光#2.0 手动 E
CDN0416M0037	日产#东风日产#轩逸#轩逸#1.6 手动 XE 舒适版
CDN0416M0016	日产#东风日产#轩逸#轩逸#1.6 手动 XL 豪华天窗版
CDN0416M0038	日产#东风日产#轩逸#轩逸#1.6 手动 XL 豪华版
CDN0418M0007	日产#东风日产#轩逸#轩逸#1.8 手动 XL 豪华版
CDN0416M0039	日产#东风日产#轩逸#轩逸经典#1.6 手动 XE 舒适版
CDN0416M0040	日产#东风日产#轩逸#轩逸经典#1.6 手动 XL 豪华版
CDN0616A0180	日产#东风日产#骐达#骐达#1.6 自动 GS 尊贵型NAVI
CDN0616M0101	日产#东风日产#骐达#骐达#1.6 手动 G 时尚型
CDN0616M0126	日产#东风日产#骐达#骐达#1.6T 手动 XV 炫动版
CDN0616M0124	日产#东风日产#骐达#骐达#1.6 手动 XE 舒适型
CDN0616M0125	日产#东风日产#骐达#骐达#1.6 手动 XL 智能型
CDN0616M0127	日产#东风日产#骐达#骐达#1.6T 手动 XV-SAFETY 致酷版
CFZ0518A0001	起亚#东风悦达起亚#远舰#远舰#1.8 手自一体
CDN0820M0012	日产#东风日产#逍客#逍客#2.0 手动 20S 火 两驱
CDN0820M0017	日产#东风日产#逍客#逍客#2.0 手动 XL 火 两驱
CDN0916M0048	日产#东风日产#骊威#骊威#1.6 手动 GS 超能型
CDN0916M0061	日产#东风日产#骊威#骊威#1.6 手动 GE 全能型
CDN0916M0046	日产#东风日产#骊威#骊威#1.6 手动 GC 多能型
CDN0916M0080	日产#东风日产#骊威#骊威#1.6 手动 劲锐版 GX标准型
CDN0916M0055	日产#东风日产#骊威#骊威#1.6 手动 劲锐版 GX智能型
CDN0916M0081	日产#东风日产#骊威#骊威#1.6 手动 劲锐版 GV智能型
CDN0916M0079	日产#东风日产#骊威#骊威#1.6 手动 劲悦版 GS超能型
CDN0916M0078	日产#东风日产#骊威#骊威#1.6 手动 劲悦版 GI全能型
CDN0916M0086	日产#东风日产#骊威#骊威#1.6XE 手动 舒适版
CDN0916M0087	日产#东风日产#骊威#骊威#1.6XL 手动 豪华版
CDN0918M0007	日产#东风日产#骊威#骊威#1.8 手动 劲逸版 XE标准型
CDN0916M0044	日产#东风日产#骊威#骊威#1.6 手动 G 多能型
CDN0916M0050	日产#东风日产#骊威#骊威#1.6 手动 GT 炫能型
CDN0916M0089	日产#东风日产#骊威#骊威#1.6XV 手动 劲锐豪华版
CDN0916M0088	日产#东风日产#骊威#骊威#1.6XL 手动 劲锐舒适版
CFZ0618M0013	起亚#东风悦达起亚#赛拉图#赛拉图#1.8 手动 GLS
CFZ0618M0014	起亚#东风悦达起亚#赛拉图#赛拉图#1.8 手动 运动版
CFZ0618M0020	起亚#东风悦达起亚#赛拉图#赛拉图#1.8 手动 TOP
CDN1025M0016	日产#东风日产#奇骏#奇骏#2.5 手动 XL 豪华版
CFZ1020M0010	起亚#东风悦达起亚#智跑#智跑#2.0 手动 GLS 两驱
CFZ1020M0009	起亚#东风悦达起亚#智跑#智跑#2.0 手动 GL 两驱
CFZ1020M0016	起亚#东风悦达起亚#智跑#智跑#2.0 手动 GLS 2WD
CFZ1020M0015	起亚#东风悦达起亚#智跑#智跑#2.0 手动 GL 2WD
CFZ1120M0007	起亚#东风悦达起亚#K5#K5#2.0 手动 GL
CSM0124M0036	三菱#东南汽车#菱绅#菱绅#2.4 手动 经典版
CSM0124M0033	三菱#东南汽车#菱绅#菱绅#2.4 手动 豪华版
CGH0718M0004	本田#广汽本田#凌派#凌派#1.8 手动 舒适版
CGC0218M0003	传祺#广汽乘用车#GS5#GS5#1.8T 手动 两驱精英版
CGT0215M0004	丰田#广汽丰田#雅力士#YARiS L 致炫#1.5G 手动 炫动版
CGG1124M0007	吉奥#广汽吉奥#帅豹#帅豹#2.4 手动 舒适型
CGG1124M0008	吉奥#广汽吉奥#帅豹#帅豹#2.4 手动 豪华型
CJM0138M0008	三菱#广汽长丰#帕杰罗#帕杰罗V77#3.8 手动 GLS
CZH0616M0013	中华#华晨汽车#V5#V5#1.6 手动 舒适版
CZH0616M0014	中华#华晨汽车#V5#V5#1.6 手动 豪华版
CZH0815M0005	中华#华晨汽车#H320#H320#1.5 手动 舒适版
CZH0815M0006	中华#华晨汽车#H320#H320#1.5 手动 豪华版
CZH0915M0008	中华#华晨汽车#H330#H330#1.5 手动 豪华型
CZH0915M0007	中华#华晨汽车#H330#H330#1.5 手动 舒适型
CHT0229M0004	华泰#华泰汽车#特拉卡#特拉卡#2.9T 手动 四驱版
CHT0418M0014	华泰#华泰汽车#B11#B11#1.8T 手动 豪华型
CHT0418M0013	华泰#华泰汽车#B11#B11#1.8T 手动 舒适型
CHT0418M0015	华泰#华泰汽车#B11#B11#1.8T 手动 尊贵型
CHT0420M0014	华泰#华泰汽车#B11#B11#2.0T 手动 豪华型
CHT0420M0013	华泰#华泰汽车#B11#B11#2.0T 手动 舒适型
CHT0420M0015	华泰#华泰汽车#B11#B11#2.0T 手动 尊贵型
CHT0620M0004	华泰#华泰汽车#路盛E70#路盛E70#2.0 手动 尊贵型
CHT0615M0002	华泰#华泰汽车#路盛E70#路盛E70#1.5T 手动 尊贵型
CHT0620M0003	华泰#华泰汽车#路盛E70#路盛E70#2.0 手动 舒适型
CHT0615M0001	华泰#华泰汽车#路盛E70#路盛E70#1.5T 手动 舒适型
CHT0615A0001	华泰#华泰汽车#路盛E70#路盛E70#1.5T 手自一体 尊贵型
CFQ0230M0006	富奇#华翔汽车#驭虎#驭虎#3.0 手动 汽油 四驱版
CGD0220M0006	帝豪#吉利汽车#EC8#EC8#2.0 手动 舒适型
CGD0220M0019	帝豪#吉利汽车#EC8#EC8#2.0 手动 进取型
CGD0220M0021	帝豪#吉利汽车#EC8#EC8#2.0 手动 尊贵型
CGD0220M0020	帝豪#吉利汽车#EC8#EC8#2.0 手动 精英型
CGD0220M0005	帝豪#吉利汽车#EC8#EC8#2.0 手动 标准型
CGY0618M0010	全球鹰#吉利汽车#GC7#GC7#1.8 手动 舒适型
CGY0618M0012	全球鹰#吉利汽车#GC7#GC7#1.8 手动 豪华型
CGY0618M0011	全球鹰#吉利汽车#GC7#GC7#1.8 手动 精英型
CYL0325M0009	英伦#吉利汽车#TX4#高级定制商务型#2.5T 手动 柴油 标配
CYL0325M0010	英伦#吉利汽车#TX4#TX4#2.5T 手动 柴油
CJC0413M0100	江淮#江淮汽车#同悦#同悦Cross#1.3 手动 豪华型
CLF1015M0005	力帆#力帆汽车#530#530#1.5 手动 EX 豪华型
CLF1015M0006	力帆#力帆汽车#530#530#1.5 手动 VIP 旗舰型
CLF1015M0004	力帆#力帆汽车#530#530#1.5 手动 LX 标准型
CLH0216M0014	莲花#青年莲花#L5#L5-三厢#1.6 手动 风尚版
CLH0216M0015	莲花#青年莲花#L5#L5-三厢#1.6 手动 精智版
CLH0218M0011	莲花#青年莲花#L5#L5-三厢#1.8 手动 风尚版
CLH0218M0012	莲花#青年莲花#L5#L5-三厢#1.8 手动 精智版
CLH0216M0011	莲花#青年莲花#L5#L5 Sportback#1.6 手动 风尚版
CLH0216M0012	莲花#青年莲花#L5#L5 Sportback#1.6 手动 精智版
CLH0218M0009	莲花#青年莲花#L5#L5 Sportback#1.8 手动 精智版
CLH0218M0010	莲花#青年莲花#L5#L5 Sportback#1.8 手动 风尚版
CLH0216M0013	莲花#青年莲花#L5#L5 Sportback#1.6 手动 风尚导航版
CLH0216M0024	莲花#青年莲花#L5#L5 GTS#1.6 手动 豪华型
CLH0216M0023	莲花#青年莲花#L5#L5 GTS#1.6 手动 劲取型
CLH0316A0009	莲花#青年莲花#竞速#竞速#1.6 自动 运动版
CLH0316A0010	莲花#青年莲花#竞速#竞速#1.6 自动 豪华版
CLH0316A0011	莲花#青年莲花#竞速#竞速#1.6 自动
CLH0416A0005	莲花#青年莲花#竞悦#竞悦#1.6 自动 时尚型
CSS0318M0003	斯柯达#上海大众#昊锐#昊锐#1.8TSI 手动 智雅版
CSS0318M0008	斯柯达#上海大众#昊锐#昊锐#1.8TSI 手动 优雅版
CSS0518M0004	斯柯达#上海大众#速派#速派#1.8TSI 手动 名仕版
CSS0514M0004	斯柯达#上海大众#速派#速派#1.4TSI 手动 绅仕版
CSV0120M0018	大众#上海大众#桑塔纳#桑塔纳 志俊#2.0 手动 豪华版
CSV0120M0008	大众#上海大众#桑塔纳#桑塔纳3000#2.0 手动 超越者 豪华版
CSV0518M0026	大众#上海大众#途安#途安#1.8T 手动 5座舒适版
CSV0518M0012	大众#上海大众#途安#途安#1.8T 手动 5座豪华版
CSV0518M0025	大众#上海大众#途安#途安#1.8T 手动 5座智尊版
CSV0518M0013	大众#上海大众#途安#途安#1.8T 手动 7座豪华版
CSV0518M0004	大众#上海大众#途安#途安#1.8T 手动 7座舒适版
CSV0614M0001	大众#上海大众#朗逸#朗逸#1.4TSI 手动
CSV0614M0018	大众#上海大众#朗逸#朗逸#1.4TSI 手动 舒适版
CSV0614M0019	大众#上海大众#朗逸#朗逸#1.4TSI 手动 豪华版
CSV0614M0031	大众#上海大众#朗逸#朗逸#1.4TSI 手动 豪华版(改款)
CSV0614M0030	大众#上海大众#朗逸#朗逸#1.4TSI 手动 舒适版(改款)
CSV0614M0014	大众#上海大众#朗逸#朗逸#1.4TSI 手动 品雅版
CSV0614M0015	大众#上海大众#朗逸#朗逸#1.4TSI 手动 品轩版
CGB0515M0004	别克#上海通用#凯越#凯越#1.5 手动 尊享版
CGB0515M0003	别克#上海通用#凯越#凯越#1.5 手动 经典版
CSV0814M0008	大众#上海大众#朗行#朗行#1.4TSI 手动 豪华版
CSV0814M0007	大众#上海大众#朗行#朗行#1.4TSI 手动 舒适版
CSV0816M0007	大众#上海大众#朗行#朗行#1.6 手动 风尚版
CSV0816M0008	大众#上海大众#朗行#朗行#1.6 手动 舒适版
CMG0218M0011	MG#上海汽车#MGTF#MGTF#1.8 手动 标准版
CGX0616M0010	雪佛兰#上海通用#爱唯欧#爱唯欧-三厢#1.6 手动 SX
CGX0616M0012	雪佛兰#上海通用#爱唯欧#爱唯欧-三厢#1.6 手动 SX 风尚影音版
CGX0616M0011	雪佛兰#上海通用#爱唯欧#爱唯欧-两厢#1.6 手动 SX 风尚影音版
CGX0616M0009	雪佛兰#上海通用#爱唯欧#爱唯欧-两厢#1.6 手动 SX
CWB0218M0007	宝骏#上汽通用五菱#宝骏630#宝骏630#1.8 手动 舒适型
CWB0218M0008	宝骏#上汽通用五菱#宝骏630#宝骏630#1.8 手动 精英型
CSP0116M0110	标致#神龙汽车#307#307-三厢#1.6 手动 舒适版
CSP0116M0111	标致#神龙汽车#307#307-三厢#1.6 手动 豪华版
CSP0116M0115	标致#神龙汽车#307#307-三厢#1.6 手动 XS 天窗版
CSP0116M0105	标致#神龙汽车#307#307-两厢#1.6 手动 舒适版
CSP0116M0109	标致#神龙汽车#307#307-两厢#1.6 手动 豪华版
CSP0616M0005	标致#神龙汽车#308#308#1.6 手动 优尚型
CSP0620M0003	标致#神龙汽车#308#308#2.0 手动 风尚型
CSP0616M0006	标致#神龙汽车#308#308#1.6 手动 风尚型
CSX0420M0007	雪铁龙#神龙汽车#赛纳#赛纳#2.0 手动 标准型
CSX0420M0008	雪铁龙#神龙汽车#赛纳#赛纳#2.0 手动 豪华型
CSX0520M0023	雪铁龙#神龙汽车#凯旋#凯旋#2.0 手动 尊贵型
CSX0520M0024	雪铁龙#神龙汽车#凯旋#凯旋#2.0 手动 精英型
CSX0520M0033	雪铁龙#神龙汽车#凯旋#凯旋#2.0 手动 经典型
CSX0520M0035	雪铁龙#神龙汽车#凯旋#凯旋#2.0 手动 经典型 政府采购
CSX0520M0034	雪铁龙#神龙汽车#凯旋#凯旋#2.0 手动 科技型
CSX0520M0036	雪铁龙#神龙汽车#凯旋#凯旋#2.0 手动 科技型 政府采购
CSX0616M0054	雪铁龙#神龙汽车#C2#C2#1.6 手动 SX
CSX0616M0052	雪铁龙#神龙汽车#C2#C2#1.6 手动 SX VTS运动版
CSX0616M0050	雪铁龙#神龙汽车#C2#C2#1.6 手动 EX
CSX0616M0059	雪铁龙#神龙汽车#C2#C2#1.6 手动 SX 酷智版
CSX0616M0060	雪铁龙#神龙汽车#C2#C2#1.6 手动 SX 酷精灵版
CSX0616M0058	雪铁龙#神龙汽车#C2#C2#1.6 手动 SX 酷睿版
CTX0213M0003	夏利#天津一汽夏利#雅酷#雅酷#1.3 手动
CFA0122M0005	奥迪#一汽奥迪#100#100#2.2 手动 E 化油器
CFV0116M0206	大众#一汽大众#捷达#捷达#1.6 手动 舒适型
CFV0116M0207	大众#一汽大众#捷达#捷达#1.6 手动 豪华型
CFV0220M0003	大众#一汽大众#宝来#宝来#2.0 手动 舒适版
CFV0314M0012	大众#一汽大众#高尔夫#高尔夫6#1.4TSI 手动 舒适版
CFV0314M0013	大众#一汽大众#高尔夫#高尔夫7#1.4TSI 手动 舒适型
CFV0318M0006	大众#一汽大众#高尔夫#高尔夫#1.8 手动 舒适版
CFV0520M0016	大众#一汽大众#速腾#速腾#2.0 手动 舒适版
CFV0520M0008	大众#一汽大众#速腾#速腾#2.0 手动 时尚版
CFV0520M0014	大众#一汽大众#速腾#速腾#2.0 手动 舒适真皮版
CFT0216M0025	丰田#一汽丰田#威驰#威驰#1.6 手动 GL-i
CFT0216M0012	丰田#一汽丰田#威驰#威驰#1.6 手动 GL-i 特别限量版
CFT0216M0017	丰田#一汽丰田#威驰#威驰#1.6 手动 GL-i 特别纪念版
CFT0216M0026	丰田#一汽丰田#威驰#威驰#1.6 手动 GL-i 特装型尚天窗版
CFT0216M0019	丰田#一汽丰田#威驰#威驰#1.6 手动 GL-i 标准版
CFT0216M0024	丰田#一汽丰田#威驰#威驰#1.6 手动 GL-i 天窗版
CFT0618M0036	丰田#一汽丰田#花冠#花冠#1.8 手动 GLX-S 电子导航版
CFT0618M0032	丰田#一汽丰田#花冠#花冠#1.8 手动 GL-i
CFT0618M0033	丰田#一汽丰田#花冠#花冠#1.8 手动 GLX-i
CFT0618M0034	丰田#一汽丰田#花冠#花冠#1.8 手动 GLX-S 运动版
CFT0618M0035	丰田#一汽丰田#花冠#花冠#1.8 手动 GLX-i 电子导航版
CFT0618M0010	丰田#一汽丰田#花冠#花冠#1.8 手动 一周年特装版
CFT0720M0004	丰田#一汽丰田#卡罗拉#卡罗拉#2.0 手动 GLX
CFT1224M0009	丰田#一汽丰田#RAV4#RAV4#2.4 手动 豪华升级版
CFT1224M0018	丰田#一汽丰田#RAV4#RAV4#2.4 手动 至臻导航版
CFT1224M0016	丰田#一汽丰田#RAV4#RAV4#2.4 手动 豪华版
CFT1224M0015	丰田#一汽丰田#RAV4#RAV4#2.4 手动 豪华炫装版
CFT1224M0020	丰田#一汽丰田#RAV4#RAV4#2.4 手动 四驱特享尊崇版
CFT1224M0005	丰田#一汽丰田#RAV4#RAV4#2.4 手动 豪华导航版
CFT1224M0017	丰田#一汽丰田#RAV4#RAV4#2.4 手动 至臻版
CHM0718M0012	海马#一汽海马#欢动#欢动#1.8 手动 豪华版
CHM0718M0011	海马#一汽海马#欢动#欢动#1.8 手动 舒适版
CHM1120M0011	海马#一汽海马#S7#S7#2.0 手动 两驱智享版
CHM1120M0010	海马#一汽海马#S7#S7#2.0 手动 两驱智尚版
CHM1120M0012	海马#一汽海马#S7#S7#2.0 手动 两驱智臻版
CHM1218A0001	海马#一汽海马#M8#M8#1.8 手自一体 尊贵型
CHM1220M0004	海马#一汽海马#M8#M8#2.0 手动 舒适型
CHM1218A0002	海马#一汽海马#M8#M8#1.8 手自一体 行政型
CJD0115M0018	大发#一汽吉林#森雅#森雅#1.5 手动 5座 CL
CJD0115M0019	大发#一汽吉林#森雅#森雅#1.5 手动 7座 CL
CBE0320M0011	奔腾#一汽轿车#B90#B90#2.0 手动 豪华型
CBE0320M0012	奔腾#一汽轿车#B90#B90#2.0 手动 舒适型
CCF0316M0011	福特#长安福特#福克斯#福克斯-三厢#1.6 手动 舒适型
CCF0316M0012	福特#长安福特#福克斯#福克斯-三厢#1.6 手动 风尚型
CCF0316M0009	福特#长安福特#福克斯#福克斯-两厢#1.6 手动 舒适型
CCF0316M0010	福特#长安福特#福克斯#福克斯-两厢#1.6 手动 风尚型
CFM0215M0010	马自达#长安福特马自达#马自达2#马自达2#1.5 手动 豪华版
CFM0215M0032	马自达#长安福特马自达#马自达2#马自达2#1.5 手动 炫动款 超值版
CFM0215M0018	马自达#长安福特马自达#马自达2#马自达2#1.5 手动 超值版
CFM0215M0021	马自达#长安福特马自达#马自达2#马自达2劲翔#1.5 手动 时尚版
CFM0215M0033	马自达#长安福特马自达#马自达2#马自达2劲翔#1.5 手动 炫动款 时尚版
CLM0315M0007	铃木#长安铃木#雨燕#雨燕#1.5 手动 炫锐版
CLM0315M0013	铃木#长安铃木#雨燕#雨燕#1.5 手动 双色炫锐版
CLM0315M0028	铃木#长安铃木#雨燕#雨燕#1.5 手动 标准版
CLM0315M0029	铃木#长安铃木#雨燕#雨燕#1.5 手动 运动型
CLM0315M0008	铃木#长安铃木#雨燕#雨燕#1.5 手动 劲乐炫锐版
CLM0315M0022	铃木#长安铃木#雨燕#雨燕#1.5 手动 运动版
CLM0315M0006	铃木#长安铃木#雨燕#雨燕#1.5 手动 墨客超炫版
CLM0315M0010	铃木#长安铃木#雨燕#雨燕#1.5 手动 冬恋炫锐限量版
CLM0315M0002	铃木#长安铃木#雨燕#雨燕#1.5 手动
CLM0315M0012	铃木#长安铃木#雨燕#雨燕#1.5 手动 冠军限量版
CLM0315M0026	铃木#长安铃木#雨燕#雨燕#1.5 手动 20周年限量版
CLM0418M0011	铃木#长安铃木#天语SX4#天语SX4-两厢#1.8 手动 运动版
CLM0418M0013	铃木#长安铃木#天语SX4#天语SX4-两厢#1.8 手动 锐骑运动版
CLM0418M0004	铃木#长安铃木#天语SX4#天语SX4-三厢#1.8 手动 豪华版
CLM0516M0017	铃木#长安铃木#天语·尚悦#天语·尚悦#1.6 手动 豪华版
CLM0516M0020	铃木#长安铃木#天语·尚悦#天语·尚悦#1.6 手动 舒适版
CLM0518M0005	铃木#长安铃木#天语·尚悦#天语·尚悦#1.8 手动 豪华版
CLM0516M0018	铃木#长安铃木#天语·尚悦#天语·尚悦#1.6 手动 实用版
CLM0516M0019	铃木#长安铃木#天语·尚悦#天语·尚悦#1.6 手动 实用版升级版
CLM0616M0003	铃木#长安铃木#锋驭#锋驭#1.6 手动 进取型
CLM0616M0004	铃木#长安铃木#锋驭#锋驭#1.6 手动 精英型
CMD0213M0004	马自达#长安马自达#马自达2#马自达2劲翔#1.3 手动 炫动款 标准版
CMD0215M0004	马自达#长安马自达#马自达2#马自达2劲翔#1.5 手动 炫动款 时尚版
CMD0215M0003	马自达#长安马自达#马自达2#马自达2#1.5 手动 炫动款 超值版
CMD0213M0003	马自达#长安马自达#马自达2#马自达2#1.3 手动 炫动款 标准版
CMD0320M0004	马自达#长安马自达#CX-5#CX-5#2.0 手动 两驱舒适型
CCA0214A0002	长安#长安汽车#奔奔#奔奔#1.4 手自一体 尊贵型
CCA0214A0001	长安#长安汽车#奔奔#奔奔#1.4 手自一体 豪华型
CCA0213M0125	长安#长安汽车#奔奔#奔奔LOVE#1.3 手动 超值版
CCA0515M0102	长安#长安汽车#悦翔#悦翔-两厢#1.5 手动 豪华版
CCA0515M0103	长安#长安汽车#悦翔#悦翔-两厢#1.5 手动 舒适版
CCA0515M0104	长安#长安汽车#悦翔#悦翔-两厢#1.5 手动 尊贵版
CCA0515M0112	长安#长安汽车#悦翔#悦翔V5#1.5 手动 运动版
CCA0515M0111	长安#长安汽车#悦翔#悦翔V5#1.5 手动 梦幻版
CCT1912M0003	长安商用#长安汽车#V5#V5#1.2 手动 标准型NP12
CCT1912M0002	长安商用#长安汽车#V5#V5#1.2 手动 舒适型DK12
CCT1915M0001	长安商用#长安汽车#V5#V5#1.5 手动 舒适型DAM15R
CCT1912M0004	长安商用#长安汽车#V5#V5#1.2 手动 标准型DK12
CCT1912M0001	长安商用#长安汽车#V5#V5#1.2 手动 舒适型NP12
CCT1915M0002	长安商用#长安汽车#V5#V5#1.5 手动 标准型DAM15R
CGW1815M0011	长城#长城汽车#凌傲#凌傲#1.5 手动 锋锐版
CGW1815M0017	长城#长城汽车#凌傲#凌傲#1.5 手动 超值版
CGW1815M0018	长城#长城汽车#凌傲#凌傲#1.5 手动 尊贵版
CGW1815M0012	长城#长城汽车#凌傲#凌傲#1.5 手动 豪华版
CGW1815M0010	长城#长城汽车#凌傲#凌傲#1.5 手动 锋尚版
CGW1815M0008	长城#长城汽车#凌傲#凌傲#1.5 手动 精英版
CGW1815M0009	长城#长城汽车#凌傲#凌傲#1.5 手动 天窗版
CGW2120M0017	长城#长城汽车#长城V80#长城V80#2.0 手动 实用版
CGW2120M0016	长城#长城汽车#长城V80#长城V80#2.0 手动 标准版
CGW2120M0018	长城#长城汽车#长城V80#长城V80#2.0 手动 舒适版
CGW2120M0020	长城#长城汽车#长城V80#长城V80#2.0 手动 精英版
CGW2120M0019	长城#长城汽车#长城V80#长城V80#2.0 手动 豪华版
CZK0322M0007	华北#中客华北#腾狮#腾狮#2.2 手动 两驱标准型
CZK0322M0008	华北#中客华北#腾狮#腾狮#2.2 手动 两驱豪华型
CZK0324M0008	华北#中客华北#腾狮#腾狮#2.4 手动 四驱超豪华型
CZK0324M0007	华北#中客华北#腾狮#腾狮#2.4 手动 两驱超豪华型
CZT0315M0016	众泰#众泰汽车#Z200#Z200#1.5 手动 精英版
CZT0315M0017	众泰#众泰汽车#Z200#Z200#1.5 手动 豪华版
CZT0315M0015	众泰#众泰汽车#Z200#Z200#1.5 手动 舒适版
CZT0315M0022	众泰#众泰汽车#Z200#Z200#1.5 手动 精英型(三菱)
CZT0315M0023	众泰#众泰汽车#Z200#Z200HB#1.5 手动 舒适版
CZT0315M0026	众泰#众泰汽车#Z200#Z200HB#1.5 手动 科技版
CZT0315M0024	众泰#众泰汽车#Z200#Z200HB#1.5 手动 豪华版
CZT0315M0025	众泰#众泰汽车#Z200#Z200HB#1.5 手动 尊贵版
AGM0143A0012	GMC#通用汽车#Safari [旅行]#Safari [旅行]#4.3 自动
AGM0243A0008	GMC#通用汽车#Savana [赛威]#Savana [赛威]#4.3 自动
AGM0343A0005	GMC#通用汽车#Jimmy#Jimmy#4.3 自动 五门
AGM0343M0007	GMC#通用汽车#Jimmy#Jimmy#4.3 手动 三门
