//宝龙#宝龙汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
克莱斯勒#北京奔驰#合资=克莱斯勒#北京克莱斯勒:Y|奔驰#北京奔驰|克莱斯勒#东南汽车|克莱斯勒#克莱斯勒(进口)|奔驰#福建奔驰
传祺#广汽乘用车#国产=广汽传祺#广汽乘用车:Y|东风风神#东风乘用车|广汽吉奥#广汽吉奥|丰田#广汽丰田|本田#广汽本田
菲亚特#广汽菲亚特#合资=菲亚特#广汽菲亚特:Y|菲亚特#菲亚特(进口)|菲亚特#南京菲亚特|菲亚特#其它|广汽吉奥#广汽吉奥
丰田#广汽丰田#合资=丰田#广汽丰田:Y|丰田#一汽丰田|丰田#丰田(进口)|丰田#其它|广汽吉奥#广汽吉奥
吉奥#广汽吉奥#国产=广汽吉奥#广汽吉奥:Y|丰田#广汽丰田|本田#广汽本田|菲亚特#广汽菲亚特|三菱#广汽三菱
三菱#广汽三菱#合资=三菱#广汽三菱:Y|三菱#北京吉普|三菱#三菱(进口)|三菱#东南汽车|广汽吉奥#广汽吉奥
//长丰#广汽长丰#国产=广汽吉奥#广汽吉奥|丰田#广汽丰田|本田#广汽本田|菲亚特#广汽菲亚特|三菱#广汽三菱
三菱#广汽长丰#合资=三菱#广汽三菱:Y|三菱#北京吉普|三菱#三菱(进口)|三菱#东南汽车|广汽吉奥#广汽吉奥
哈飞#哈飞汽车#国产=哈飞#哈飞汽车:Y|哈飞#其它|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它
//标致#广州标致#合资=标致#东风标致|标致#标致(进口)|DS#长安标致雪铁龙|现代#北京现代|五菱汽车#上汽通用五菱
恒天#恒天汽车#国产=恒天#恒天汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
宝马#华晨宝马#合资=宝马#华晨宝马:Y|金杯#华晨金杯|宝马#宝马(进口)|中华#华晨中华|宝马#宝马M
金杯#华晨金杯#国产=金杯#华晨金杯:Y|宝马#华晨宝马|中华#华晨中华|现代#北京现代|五菱汽车#上汽通用五菱
中华#华晨汽车#国产=中华#华晨中华:Y|金杯#华晨金杯|宝马#华晨宝马|现代#北京现代|五菱汽车#上汽通用五菱
华泰#华泰汽车#国产=华泰#华泰汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
//富奇#华翔汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
//华阳#华阳汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
帝豪#吉利汽车#国产=吉利汽车#吉利汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
吉利#吉利汽车#国产=吉利汽车#吉利汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
全球鹰#吉利汽车#国产=吉利汽车#吉利汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
英伦#吉利汽车#合资=吉利汽车#吉利汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
//安驰#江淮安驰#国产=江淮#江淮汽车|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
江淮#江淮汽车#国产=江淮#江淮汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
福特#江铃汽车#合资=福特#江铃汽车:Y|江铃#江铃汽车|福特#长安福特|福特#福特(进口)|江铃集团轻汽#江铃集团轻汽
江铃#江铃汽车#国产=江铃#江铃汽车:Y|福特#江铃汽车|江铃集团轻汽#江铃集团轻汽|现代#北京现代|五菱汽车#上汽通用五菱
//江南#江南汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
昌河#江西昌河汽车#国产=昌河#昌河汽车:Y|铃木#昌河铃木|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它
//雪佛兰#金杯通用#合资=金杯#华晨金杯|雪佛兰#通用雪佛兰|雪佛兰#其它|雪佛兰#雪佛兰(进口)|一汽#一汽通用
//金程#金程汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
九龙#九龙汽车#国产=九龙#九龙汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
卡威#卡威汽车#国产=卡威#卡威汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
力帆#力帆汽车#国产=力帆#重庆力帆:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
陆风#陆风汽车#国产=陆风#陆风汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
菲亚特#南京菲亚特#合资=菲亚特#南京菲亚特:Y|依维柯#南京依维柯|菲亚特#菲亚特(进口)|菲亚特#其它|菲亚特#广汽菲亚特
//新雅途#南京汽车#国产=菲亚特#南京菲亚特|依维柯#南京依维柯|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它
依维柯#南京依维柯#国产=依维柯#南京依维柯:Y|菲亚特#南京菲亚特|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它
奇瑞#奇瑞汽车#国产=奇瑞#奇瑞汽车:Y|威麟#奇瑞汽车|瑞麒#奇瑞汽车|现代#北京现代|五菱汽车#上汽通用五菱
开瑞#奇瑞汽车#国产=开瑞#开瑞汽车:Y|奇瑞#奇瑞汽车|威麟#奇瑞汽车|瑞麒#奇瑞汽车|现代#北京现代
瑞麒#奇瑞汽车#国产=瑞麒#奇瑞汽车:Y|奇瑞#奇瑞汽车|威麟#奇瑞汽车|现代#北京现代|五菱汽车#上汽通用五菱
威麟#奇瑞汽车#国产=威麟#奇瑞汽车:Y|奇瑞#奇瑞汽车|瑞麒#奇瑞汽车|现代#北京现代|五菱汽车#上汽通用五菱
莲花#青年莲花#国产=莲花汽车#莲花汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
庆铃#庆铃汽车#国产=五十铃#庆铃汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
雷诺#三江雷诺#合资=雷诺#雷诺:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
陕汽通家#陕汽通家#国产=陕汽通家#陕汽通家:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
斯柯达#上海大众#合资=斯柯达#上海大众斯柯达:Y|大众#上海大众|斯柯达#斯柯达(进口)|现代#北京现代|五菱汽车#上汽通用五菱
大众#上海大众#合资=大众#上海大众:Y|斯柯达#上海大众斯柯达|大众#其它|大众#大众(进口)|大众#一汽-大众
别克#上海通用#合资=别克#通用别克:Y|别克#其它|别克#别克(进口)|现代#北京现代|五菱汽车#上汽通用五菱
凯迪拉克#上海通用#合资=凯迪拉克#凯迪拉克(进口)|凯迪拉克#通用凯迪拉克:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它
华普#上海华普#国产=华普#华普汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
//SPRINGO#上海通用#合资=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
雪佛兰#上海通用#合资=雪佛兰#通用雪佛兰:Y|雪佛兰#其它|雪佛兰#雪佛兰(进口)|现代#北京现代|五菱汽车#上汽通用五菱
//汇众#上海汇众#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
大通#上海汽车#国产=上汽大通#上汽商用车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
MG#上海汽车#国产=MG#上汽集团:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
//万丰#上海万丰#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
宝骏#上汽通用五菱#国产=宝骏#上汽通用五菱:Y|五菱汽车#上汽通用五菱|上汽大通#上汽商用车|荣威#上汽集团|MG#上汽集团
荣威#上海汽车#国产=荣威#上汽集团:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
五菱#上汽通用五菱#国产=五菱汽车#上汽通用五菱:Y|宝骏#上汽通用五菱|上汽大通#上汽商用车|荣威#上汽集团|MG#上汽集团
标致#神龙汽车#合资=标致#东风标致:Y|标致#标致(进口)|DS#长安标致雪铁龙|现代#北京现代|五菱汽车#上汽通用五菱
雪铁龙#神龙汽车#合资=雪铁龙#东风雪铁龙:Y|雪铁龙#雪铁龙(进口)|DS#雪铁龙(进口)|DS#长安标致雪铁龙|现代#北京现代
//黑豹#沈阳黑豹#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
黄海#曙光汽车#国产=黄海#曙光汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
双环#双环汽车#国产=双环#双环汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
野马#四川汽车#国产=野马汽车#野马汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
海格#苏州金龙#国产=海格#苏州金龙:Y|金龙#厦门金龙联合|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它
佳星#天津一汽华利#国产=一汽#天津一汽:Y|一汽#一汽吉林|丰田#一汽丰田|马自达#一汽马自达|一汽#一汽通用
一汽#天津一汽夏利#国产=一汽#天津一汽:Y|一汽#一汽吉林|丰田#一汽丰田|马自达#一汽马自达|一汽#一汽通用
夏利#天津一汽夏利#国产=一汽#天津一汽:Y|一汽#一汽吉林|丰田#一汽丰田|马自达#一汽马自达|一汽#一汽通用
//天马#天马汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
//美亚#天汽美亚#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
//通田#通田汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
沃尔沃#沃尔沃亚太#合资=沃尔沃#沃尔沃亚太:Y|沃尔沃#沃尔沃(进口)|沃尔沃#长安沃尔沃|现代#北京现代|五菱汽车#上汽通用五菱
新凯#新凯汽车#国产=新凯#新凯汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
奥迪#一汽奥迪#合资=奥迪#其它|奥迪#奥迪(进口)|奥迪#奥迪RS|奥迪#一汽-大众奥迪:Y|一汽#一汽吉林
大众#一汽大众#合资=大众#其它|大众#大众(进口)|大众#上海大众|大众#一汽-大众:Y|奥迪#一汽-大众奥迪
丰田#一汽丰田#合资=丰田#一汽丰田:Y|丰田#丰田(进口)|丰田#广汽丰田|丰田#其它|一汽#一汽吉林
海马#一汽海马#国产=海马#海马汽车:Y|海马#海马郑州|一汽#一汽吉林|丰田#一汽丰田|马自达#一汽马自达
大发#一汽吉林#国产=大发#一汽吉林:Y|一汽#一汽吉林|丰田#一汽丰田|马自达#一汽马自达|一汽#一汽通用
一汽#一汽吉林#国产=一汽#一汽吉林:Y|大发#一汽吉林|丰田#一汽丰田|马自达#一汽马自达|一汽#一汽通用
解放#一汽吉林#国产=一汽#一汽吉林:Y|大发#一汽吉林|丰田#一汽丰田|马自达#一汽马自达|一汽#一汽通用
奔腾#一汽轿车#国产=奔腾#一汽奔腾:Y|一汽#一汽吉林|丰田#一汽丰田|马自达#一汽马自达|一汽#一汽通用
红旗#一汽轿车#国产=红旗#一汽红旗:Y|红旗#其它|一汽#一汽吉林|丰田#一汽丰田|马自达#一汽马自达
欧朗#一汽轿车#国产=欧朗#一汽欧朗:Y|一汽#一汽吉林|丰田#一汽丰田|马自达#一汽马自达|一汽#一汽通用
马自达#一汽马自达#合资=马自达#一汽马自达:Y|马自达#马自达(进口)|马自达#长安马自达|一汽#一汽吉林|丰田#一汽丰田
//一汽#一汽轻型汽车#国产=一汽#一汽吉林|丰田#一汽丰田|马自达#一汽马自达|一汽#一汽通用|红旗#一汽红旗
//通用#一汽通用#国产=一汽#一汽通用:Y|雪佛兰#通用雪佛兰|别克#通用别克|凯迪拉克#通用凯迪拉克|一汽#一汽吉林
永源#永源汽车#国产=永源#永源汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
//云雀#云雀汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
DS#长安标致雪铁龙#合资=DS#长安标致雪铁龙:Y|DS#雪铁龙(进口)|标致#东风标致|标致#标致(进口)|雪铁龙#东风雪铁龙
福特#长安福特#合资=福特#长安福特:Y|福特#江铃汽车|福特#福特(进口)|长安#长安汽车|长安商用#长安汽车
马自达#长安福特马自达#合资=福特#长安福特|马自达#长安马自达:Y|福特#江铃汽车|马自达#一汽马自达|福特#福特(进口)
铃木#长安铃木#合资=铃木#长安铃木:Y|铃木#昌河铃木|铃木#铃木(进口)|长安#长安汽车|长安商用#长安汽车
马自达#长安马自达#合资=马自达#长安马自达:Y|马自达#一汽马自达|马自达#马自达(进口)|长安#长安汽车|长安商用#长安汽车
长安#长安汽车#国产=长安#长安汽车:Y|长安商用#长安汽车|铃木#长安铃木|福特#长安福特|马自达#长安马自达
长安商用#长安汽车#国产=长安商用#长安汽车:Y|长安商用#长安跨越|长安#长安汽车|铃木#长安铃木|福特#长安福特
沃尔沃#长安沃尔沃#合资=沃尔沃#长安沃尔沃:Y|沃尔沃#沃尔沃(进口)|沃尔沃#沃尔沃亚太|长安#长安汽车|长安商用#长安汽车
长城#长城汽车#国产=长城#长城汽车:Y|哈弗#长城汽车|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它
哈弗#长城汽车#国产=哈弗#长城汽车:Y|长城#长城汽车|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它
//扬子#长丰扬子汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
海马#郑州海马#国产=海马#海马郑州:Y|海马#海马汽车|日产#郑州日产|东风风度#郑州日产|现代#北京现代
东风风度#郑州日产#国产=东风风度#郑州日产:Y|日产#郑州日产|海马#海马郑州|日产#东风日产|启辰#东风日产
日产#郑州日产#合资=日产#郑州日产:Y|东风风度#郑州日产|海马#海马郑州|日产#日产(进口)|日产#东风日产
//华北#中客华北#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
//中顺#中顺汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
中兴#中兴汽车#国产=中兴#中兴汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
//中欧#中欧汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
众泰#众泰汽车#国产=众泰#众泰汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
//Alpina#Alpina#进口=大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)|宝马#宝马(进口)
DS#雪铁龙汽车#进口=DS#雪铁龙(进口):Y|DS#长安标致雪铁龙|雪铁龙#雪铁龙(进口)|雪铁龙#东风雪铁龙|大众#大众(进口)
GMC#通用汽车#进口=GMC#GMC:Y|一汽#一汽通用|雪佛兰#通用雪佛兰|别克#通用别克|凯迪拉克#通用凯迪拉克
Jeep#克莱斯勒#进口=Jeep#Jeep:Y|克莱斯勒#克莱斯勒(进口)|Jeep#北京吉普|克莱斯勒#东南汽车|Jeep#SRT
MINI#宝马汽车#进口=MINI#MINI:Y|MINI#MINI JCW|宝马#宝马(进口)|宝马#华晨宝马|宝马#宝马M
RUF#如虎汽车#进口=如虎#如虎:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
Scion#丰田汽车#进口=丰田#丰田(进口):Y|丰田#一汽丰田|丰田#广汽丰田|丰田#其它|大众#大众(进口)
Smart#奔驰汽车#进口=smart#smart:Y|奔驰#奔驰(进口)|奔驰#福建奔驰|奔驰#北京奔驰|奔驰#奔驰AMG
//TESLA#TESLA#进口=大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)|宝马#宝马(进口)
阿尔法-罗密欧#阿尔法-罗密欧#进口=阿尔法罗密欧#阿尔法罗密欧:Y|大众#一汽-大众|奥迪#一汽-大众奥迪|大众#大众(进口)|日产#日产(进口)
阿斯顿马丁#阿斯顿·马丁#进口=阿斯顿·马丁#阿斯顿·马丁:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
奥迪#奥迪汽车#进口=奥迪#奥迪(进口):Y|奥迪#其它|奥迪#奥迪RS|奥迪#一汽-大众奥迪|大众#大众(进口)
巴博斯#巴博斯汽车#进口=巴博斯#巴博斯:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
宝马#宝马汽车#进口=宝马#宝马(进口):Y|宝马#华晨宝马|宝马#宝马M|大众#大众(进口)|日产#日产(进口)
保时捷#保时捷汽车#进口=保时捷#保时捷:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
奔驰#奔驰汽车#进口=奔驰#奔驰(进口):Y|奔驰#福建奔驰|奔驰#北京奔驰|奔驰#奔驰AMG|大众#大众(进口)
//保斐利#保斐利#进口=大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)|宝马#宝马(进口)
本田#本田汽车#进口=本田#本田(进口):Y|本田#广汽本田|本田#东风本田|思铭#东风本田|理念#广汽本田
标致#标致汽车#进口=标致#标致(进口):Y|标致#东风标致|DS#长安标致雪铁龙|大众#大众(进口)|日产#日产(进口)
别克#通用汽车#进口=别克#通用别克|别克#别克(进口):Y|别克#其它|一汽#一汽通用|雪佛兰#通用雪佛兰
宾利#宾利汽车#进口=宾利#宾利:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
布加迪#大众汽车#进口=布加迪#布加迪:Y|大众#大众(进口)|大众#其它|大众#上海大众|大众#一汽-大众
//大宇#大宇汽车#进口=大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)|宝马#宝马(进口)
大众#大众汽车#进口=大众#大众(进口):Y|大众#其它|大众#上海大众|大众#一汽-大众|奥迪#一汽-大众奥迪
道奇#克莱斯勒#进口=道奇#道奇(进口):Y|道奇#东南汽车|克莱斯勒#克莱斯勒(进口)|克莱斯勒#东南汽车|克莱斯勒#北京克莱斯勒
法拉利#法拉利汽车#进口=法拉利#法拉利:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
菲亚特#菲亚特汽车#进口=菲亚特#菲亚特(进口):Y|菲亚特#南京菲亚特|菲亚特#其它|菲亚特#广汽菲亚特|大众#大众(进口)
丰田#丰田汽车#进口=丰田#丰田(进口):Y|丰田#一汽丰田|丰田#广汽丰田|丰田#其它|大众#大众(进口)
福特#福特汽车#进口=福特#福特(进口):Y|福特#江铃汽车|福特#长安福特|大众#大众(进口)|日产#日产(进口)
光冈#光冈汽车#进口=光冈#光冈自动车:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
悍马#通用汽车#进口=悍马#悍马:Y|一汽#一汽通用|雪佛兰#通用雪佛兰|别克#通用别克|凯迪拉克#通用凯迪拉克
捷豹#捷豹汽车#进口=捷豹#捷豹:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
卡尔森#卡尔森汽车#进口=卡尔森#卡尔森:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
凯迪拉克#通用汽车#进口=凯迪拉克#通用凯迪拉克|凯迪拉克#凯迪拉克(进口):Y|一汽#一汽通用|雪佛兰#通用雪佛兰|别克#通用别克
科尼赛克#科尼赛克#进口=科尼赛克#科尼赛克:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
克莱斯勒#克莱斯勒#进口=克莱斯勒#克莱斯勒(进口):Y|克莱斯勒#东南汽车|克莱斯勒#北京克莱斯勒|大众#大众(进口)|日产#日产(进口)
兰博基尼#兰博基尼#进口=兰博基尼#兰博基尼:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
劳伦士#劳伦士汽车#进口=劳伦士#劳伦士:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
劳斯莱斯#劳斯莱斯#进口=劳斯莱斯#劳斯莱斯:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
雷克萨斯#丰田汽车#进口=雷克萨斯#雷克萨斯:Y|丰田#丰田(进口)|丰田#一汽丰田|丰田#广汽丰田|丰田#其它
雷诺#雷诺汽车#进口=雷诺#雷诺:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
雷诺#雷诺三星#进口=雷诺#雷诺:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
林肯#福特汽车#进口=林肯#林肯:Y|福特#福特(进口)|福特#江铃汽车|福特#长安福特|大众#大众(进口)
铃木#铃木汽车#进口=铃木#铃木(进口):Y|铃木#昌河铃木|铃木#长安铃木|大众#大众(进口)|日产#日产(进口)
路虎#路虎汽车#进口=路虎#路虎:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
路特斯#宝腾汽车#进口=路特斯#路特斯:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
//罗孚#罗孚汽车#进口=大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)|宝马#宝马(进口)
